Number,Theme,Name,Minifigs,Pieces,USPrice
7780,Batman,The Batboat: Hunt for Killer Croc,2,188,20
6867,Marvel Super Heroes,Loki's Cosmic Cube Escape,3,181,19.99
70411,Pirates,Treasure Island,3,181,19.99
1788,Pirates,Treasure Chest,4,159,22
7038,Castle,Troll Assault Wagon,4,161,19.99
